location2,price
七宝,7355.017964071856
万体馆,7625.0
万祥镇,2140.0
万里,8167.123287671233
三林,7000.721649484536
上大,6053.8983050847455
上海南站,5322.0
不夜城,10268.57142857143
世博,6025.1652542372885
世博滨江,13284.23076923077
东外滩,8093.548387096775
中原,5333.561643835616
中山公园,9183.369186046511
中远两湾城,10906.666666666666
丰庄,5710.0
临平路,11214.021582733812
临港新城,3940.566037735849
九亭,6682.393665158371
书院镇,2900.0
五角场,6421.111111111111
五里桥,9454.255319148937
人民广场,11127.5
仙霞,8414.5
佘山,7578.154929577465
光新,9080.722891566265
共富,5529.761904761905
共康,6224.177215189873
凉城,5500.167597765363
北外滩,10280.923913043478
北新泾,6418.354430379747
北蔡,11500.108225108224
华东理工,5750.963855421687
华新,4506.266666666666
华泾,6766.504854368932
华漕,7260.56
南京东路,8767.948717948719
南京西路,11893.028391167192
南桥,3153.4351145038167
南码头,6353.783783783784
南翔,5885.925925925926
古北,17130.337078651686
古美,9116.45569620253
合庆,9928.57142857143
吴泾,3726.5436241610737
周家嘴路,6620.213903743315
周浦,6272.727272727273
唐镇,10608.771929824561
嘉定新城,5279.2546583850935
嘉定老城,3825.0
四团,3733.3333333333335
四川北路,30550.0
塘桥,9245.149253731342
夏阳,4335.121951219512
外冈,6614.285714285715
外高桥,5221.470588235294
大华,7187.321428571428
大团镇,2500.0
大场镇,5242.553191489362
大宁,8767.007662835249
天山,12976.666666666666
奉贤金汇,3066.6666666666665
安亭,4387.5
宣桥,3466.6666666666665
小昆山,15380.0
崇明其它,18000.0
崇明新城,2285.714285714286
川沙,4717.8899082568805
庄行,3022.222222222222
康健,7724.195804195804
康桥,7473.75
建国西路,13118.42857142857
张庙,4747.463768115942
张江,10393.170542635658
彭浦,4739.523584905661
徐家汇,10993.254697286013
徐汇滨江,22284.782608695652
徐泾,10879.741025641026
徐行,4500.0
御桥,7357.941176470588
惠南,2650.086956521739
打浦桥,10822.916666666666
控江路,5351.764705882353
斜土路,9002.718446601943
新华路,8991.013824884792
新场,3347.0588235294117
新天地,28351.685393258427
新成路,3888.8888888888887
新桥,6147.368421052632
新江湾城,17655.428571428572
春申,8888.728260869566
曲阳,5180.803468208092
曹家渡,9262.105263157895
曹杨,5568.831168831169
曹路,6749.152542372882
月浦,3846.808510638298
朱家角,7042.222222222223
杨东,13447.826086956522
杨思前滩,10424.222727272727
杨行,5496.426751592357
松江大学城,5486.954887218045
松江新城,5518.421052631579
松江老城,3726.592920353982
柘林,2166.6666666666665
桃浦,5558.189655172414
梅园,12011.049107142857
梅陇,6104.459459459459
植物园,7603.030303030303
武宁,10354.438502673796
永和,5048.484848484848
江宁路,12147.055214723927
江桥,5275.0161290322585
江湾镇,5993.149606299213
泗泾,5486.569696969697
泥城镇,2762.5
洋泾,8679.557522123894
洞泾,8263.636363636364
浦江,7720.183486238532
海湾,2850.0
淞南,5623.711340206186
淞宝,4069.0789473684213
淮海中路,12194.915662650603
源深,8710.0
漕河泾,9415.384615384615
潍坊,6552.91719745223
甘泉宜川,4756.8345323741005
田林,8815.8
白鹤,2350.0
盈浦,4487.147540983607
真光,6174.8387096774195
真如,7812.453987730061
碧云,14909.819672131147
祝桥,9000.0
罗店,4503.235294117647
罗泾,4048.8
老西门,23733.333333333332
老闵行,3954.5402298850577
联洋,22491.935483870966
航华,5658.139534883721
航头,5031.818181818182
花木,13076.923076923076
莘庄北广场,6306.770833333333
莘庄南广场,6572.7086092715235
莘闵别墅,7651.153846153846
菊园新区,3954.782608695652
董家渡,11142.857142857143
蓬莱公园,10618.954248366013
虹桥,8755.22619047619
衡山路,12339.814814814816
西渡,3544.871794871795
西藏北路,13020.051020408164
西郊,13029.97435897436
豫园,19353.703703703704
赵巷,8124.428571428572
车墩,2057.6923076923076
通河,4651.785714285715
重固,4075.0
金山,2995.0704225352115
金杨,6257.225433526011
金桥,6114.193548387097
金汇,11162.767441860466
金泽,2500.0
金虹桥,15998.760330578512
镇宁路,12718.354430379746
长兴岛,3233.3333333333335
长寿路,10230.710659898477
长征,9887.758620689656
长桥,5869.69696969697
长风,6374.741071428572
闵浦,3862.5925925925926
闸北公园,5806.153846153846
阳城,6087.796610169492
陆家嘴,17869.032258064515
陈家镇,5475.0
青村,3133.3333333333335
静安寺,14502.307692307691
静安新城,7380.7692307692305
鞍山,5617.381974248927
顾村,5061.915887850468
颛桥,8466.788990825688
香花桥,2000.0
马桥,16653.333333333332
马陆,4615.625
高境,6108.358778625954
高行,9188.07142857143
鲁迅公园,7289.6551724137935
黄兴公园,5928.125
黄浦滨江,32725.0
龙华,9437.762237762237
龙柏,8206.916666666666
