,Unnamed: 0,title,location1,location2,location3,area,orientation,room_type,price,url
33637,33637,整租·圣鑫苑 2室1厅 南/北,浦东,周浦,圣鑫苑,82,南 北,2室1厅1卫,4700,/zufang/SH1707686964532084736.html
33638,33638,整租·桃园新城中城苑 2室2厅 南/北,浦东,周浦,桃园新城中城苑,77,南 北,2室2厅1卫,3400,/zufang/SH1713100709806735360.html
33639,33639,整租·东锦苑 2室2厅 南,浦东,川沙,东锦苑,78,南,2室2厅1卫,4300,/zufang/SH1704475189120598016.html
33640,33640,整租·沪东新村 2室1厅 南,浦东,金桥,沪东新村,46,南,2室1厅1卫,4500,/zufang/SH1704439008781664256.html
33641,33641,整租·金利公寓 2室1厅 南,浦东,唐镇,金利公寓,78,南,2室1厅1卫,4600,/zufang/SH1700879162958413824.html
33642,33642,整租·东力新村 2室1厅 南,浦东,高行,东力新村,65,南,2室1厅1卫,5000,/zufang/SH1701166153440690176.html
33644,33644,整租·港机新村 2室0厅 南/北,浦东,南码头,港机新村,43,南 北,2室0厅1卫,5000,/zufang/SH1713180226525069312.html
33645,33645,整租·凌港城 2室2厅 南/北,浦东,川沙,凌港城,74,南 北,2室2厅1卫,3600,/zufang/SH1713162316389810176.html
33646,33646,整租·舜峰家苑 2室1厅 南,浦东,曹路,舜峰家苑,76,南,2室1厅1卫,4800,/zufang/SH1713404909870645248.html
33647,33647,整租·馨汇佳苑 2室2厅 南,浦东,川沙,馨汇佳苑,78,南,2室2厅1卫,4500,/zufang/SH1713411666529484800.html
33648,33648,整租·金海华城悦虹雅苑 2室1厅 南,浦东,曹路,金海华城悦虹雅苑,69,南,2室1厅1卫,3700,/zufang/SH1713441327242280960.html
33649,33649,整租·甬申金地城 2室2厅 南,浦东,惠南,甬申金地城,98,南,2室2厅1卫,3500,/zufang/SH1705056376394350592.html
33650,33650,整租·民乐城建欣苑 2室1厅 南/北,浦东,惠南,民乐城建欣苑,75,南 北,2室1厅1卫,3000,/zufang/SH1701815372870582272.html
33651,33651,整租·心圆东苑 2室1厅 南,浦东,川沙,心圆东苑,74,南,2室1厅1卫,4500,/zufang/SH1702164964355080192.html
33652,33652,整租·微山三村 2室1厅 南,浦东,塘桥,微山三村,45,南,2室1厅1卫,4200,/zufang/SH1713537564494790656.html
