,price
28500,1
5531,1
6299,1
13999,1
11900,1
4298,1
19968,1
8860,1
33480,1
5210,1
4970,1
11149,1
7450,1
5387,1
3288,1
380000,1
11331,1
950,1
69990,1
9090,1
42688,1
34500,1
45450,1
12666,1
5990,1
1988,1
59400,1
24800,1
8225,1
125000,1
2308,1
26888,1
240000,1
16300,1
90000,1
59000,1
4670,1
5750,1
900,1
168000,1
3357,1
8688,1
12850,1
4790,1
5310,1
4998,1
6799,1
5150,1
6250,1
17300,1
4990,1
980,1
8888,1
2788,1
20050,1
15900,1
4660,1
6680,1
12400,1
4260,1
8450,1
4548,1
4580,1
6789,1
2682,1
8850,1
8930,1
5960,1
19199,1
95000,1
11999,1
10830,1
2071,1
3562,1
3380,1
1499,1
450000,1
52380,1
5287,1
23888,1
7430,1
7590,1
56000,1
1099,1
7798,1
23520,1
5017,1
93960,1
55215,1
32800,1
