,price
13010,1
980,1
5974,1
1940,1
6388,1
4023,1
3799,1
22140,1
5460,1
9490,1
21500,1
78000,1
2199,1
12400,1
4180,1
3860,1
11888,1
27800,1
7190,1
11152,1
6998,1
2420,1
2388,1
6390,1
125000,1
3440,1
7250,1
3120,1
62000,1
4460,1
12360,1
1325,1
175000,1
2540,1
10600,1
4399,1
2348,1
6030,1
3949,1
3501,1
45850,1
33500,1
1899,1
7880,1
1099,1
220000,1
6888,1
6760,1
4521,1
22880,1
4620,1
910,1
10900,1
5356,1
2320,1
6290,1
5650,1
1520,1
1488,1
7123,1
25500,1
33600,1
3598,1
3246,1
7180,1
2990,1
11050,1
4429,1
14600,1
2158,1
6060,1
1870,1
30400,1
5580,1
5420,1
3966,1
